antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_length,antecedents_str,consequents_str,branch
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.006324012648025296,0.00713001426002852,0.005828011656023312,0.9215686274509804,129.25200341005967,1.0,0.005782921355662291,12.659092318184644,0.998578197164625,0.7642276422764227,0.9210053947893633,0.8694799658994032,5,"fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})",0.00713001426002852,0.006324012648025296,0.005828011656023312,0.8173913043478261,129.25200341005967,1.0,0.005782921355662291,5.441558978356054,0.9993888326437772,0.7642276422764227,0.8162291350736937,0.8694799658994032,5,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.006448012896025792,0.007006014012028024,0.005828011656023312,0.9038461538461539,129.01004084411164,1.0,0.005782836787324018,10.32713745427491,0.9986882198692203,0.7642276422764227,0.9031677457158226,0.8678522804629,5,"fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})",0.007006014012028024,0.006448012896025792,0.005828011656023312,0.8318584070796461,129.01004084411164,1.0,0.005782836787324018,5.90901971277627,0.999249420791974,0.7642276422764227,0.830767191749617,0.8678522804629,5,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.006634013268026536,0.007006014012028024,0.005952011904023808,0.897196261682243,128.060871722769,1.0,0.0059055339141120345,9.659123318246635,0.9988173813090334,0.7741935483870968,0.8964709356064496,0.8733768919030684,5,"fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.007006014012028024,0.006634013268026536,0.005952011904023808,0.8495575221238938,128.060871722769,1.0,0.0059055339141120345,6.602962147100764,0.9991915636446886,0.7741935483870968,0.8485528195191788,0.8733768919030684,5,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.007254014508029016,0.007006014012028024,0.006448012896025792,0.888888888888889,126.87512291052116,1.0,0.006397191168739086,8.936945873891753,0.9993676617536846,0.8253968253968255,0.8881049506049506,0.904621435594887,4,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.007006014012028024,0.007254014508029016,0.006448012896025792,0.9203539823008849,126.87512291052114,1.0,0.006397191168739086,12.46447737339919,0.9991180694305695,0.8253968253968255,0.9197720072777276,0.904621435594887,4,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.00713001426002852,0.00713001426002852,0.006448012896025792,0.9043478260869565,126.83674858223063,1.0,0.006397175792677582,10.380004396372428,0.9992404482616174,0.8253968253968255,0.9036609271235495,0.9043478260869565,4,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.00713001426002852,0.00713001426002852,0.006448012896025792,0.9043478260869565,126.83674858223063,1.0,0.006397175792677582,10.380004396372428,0.9992404482616174,0.8253968253968255,0.9036609271235495,0.9043478260869565,4,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
